taxonID,AphiaID_accepted,ScientificName_accepted,Kingdom,Phylum,Class,Order,Family,Genus,Species
Aphelochaeta “type 1”,129240,Aphelochaeta,Animalia,Annelida,Polychaeta,Terebellida,Cirratulidae,Aphelochaeta,NA
Aphelochaeta marioni,129938,Aphelochaeta marioni,Animalia,Annelida,Polychaeta,Terebellida,Cirratulidae,Aphelochaeta,marioni
Aphrodita aculeata,129840,Aphrodita aculeata,Animalia,Annelida,Polychaeta,Phyllodocida,Aphroditidae,Aphrodita,aculeata
Aphroditidae,938,Aphroditidae,Animalia,Annelida,Polychaeta,Phyllodocida,Aphroditidae,NA,NA
Apistobranchus,129198,Apistobranchus,Animalia,Annelida,Polychaeta,Spionida,Apistobranchidae,Apistobranchus,NA
Apistobranchus tullbergi,129851,Apistobranchus tullbergi,Animalia,Annelida,Polychaeta,Spionida,Apistobranchidae,Apistobranchus,tullbergi
Apolochus neapolitanus,236495,Apolochus neapolitanus,Animalia,Arthropoda,Malacostraca,Amphipoda,Amphilochidae,Apolochus,neapolitanus
Aporrhais,137656,Aporrhais,Animalia,Mollusca,Gastropoda,Littorinimorpha,Aporrhaidae,Aporrhais,NA
Araphura brevimanus,136344,Araphura brevimanus,Animalia,Arthropoda,Malacostraca,Tanaidacea,Tanaellidae,Araphura,brevimanus
Arctica islandica,138802,Arctica islandica,Animalia,Mollusca,Bivalvia,Venerida,Arcticidae,Arctica,islandica
Argissa hamatipes,102064,Argissa hamatipes,Animalia,Arthropoda,Malacostraca,Amphipoda,Argissidae,Argissa,hamatipes
Aricidea (Acmira) catherinae,333034,Aricidea (Acmira) catherinae,Animalia,Annelida,Polychaeta,NA,Paraonidae,Aricidea,catherinae
Aricidea laubieri,326587,Aricidea (Acmira) laubieri,Animalia,Annelida,Polychaeta,NA,Paraonidae,Aricidea,laubieri
Ascidiacea,1839,Ascidiacea,Animalia,Chordata,Ascidiacea,NA,NA,NA,NA
Aspidosiphon (Aspidosiphon) muelleri muelleri,410717,Aspidosiphon (Aspidosiphon) muelleri muelleri,Animalia,Annelida,NA,Sipuncula,Aspidosiphonidae,Aspidosiphon,muelleri
Aspidosiphon muelleri,410717,Aspidosiphon (Aspidosiphon) muelleri muelleri,Animalia,Annelida,NA,Sipuncula,Aspidosiphonidae,Aspidosiphon,muelleri
Astacilla,118445,Astacilla,Animalia,Arthropoda,Malacostraca,Isopoda,Arcturidae,Astacilla,NA
Astacilla dilatata,295579,Astacilla dilatata,Animalia,Arthropoda,Malacostraca,Isopoda,Arcturidae,Astacilla,dilatata
Astartidae,228,Astartidae,Animalia,Mollusca,Bivalvia,Carditida,Astartidae,NA,NA
Asteroidea,123080,Asteroidea,Animalia,Echinodermata,Asteroidea,NA,NA,NA,NA
Astropecten irregularis,123867,Astropecten irregularis,Animalia,Echinodermata,Asteroidea,Paxillosida,Astropectinidae,Astropecten,irregularis
Astrorhiza,112299,Astrorhiza,Chromista,Foraminifera,Monothalamea,Astrorhizida,Astrorhizidae,Astrorhiza,NA
Astrorhiza limicola,113843,Astrorhiza limicola,Chromista,Foraminifera,Monothalamea,Astrorhizida,Astrorhizidae,Astrorhiza,limicola
Astrorhizidae,111958,Astrorhizidae,Chromista,Foraminifera,Monothalamea,Astrorhizida,Astrorhizidae,NA,NA
Atherospio guillei,478336,Atherospio guillei,Animalia,Annelida,Polychaeta,Spionida,Spionidae,Atherospio,guillei
Autonoe longipes,102021,Autonoe longipes,Animalia,Arthropoda,Malacostraca,Amphipoda,Aoridae,Autonoe,longipes
Axinophilus thyasirae,128997,Axinophilus thyasirae,Animalia,Arthropoda,Copepoda,NA,NA,Axinophilus,thyasirae
Axinulus croulinensis,234161,Axinulus croulinensis,Animalia,Mollusca,Bivalvia,Lucinida,Thyasiridae,Axinulus,croulinensis
Balanidae,106057,Balanidae,Animalia,Arthropoda,Thecostraca,Balanomorpha,Balanidae,NA,NA
Balanus balanus,106213,Balanus balanus,Animalia,Arthropoda,Thecostraca,Balanomorpha,Balanidae,Balanus,balanus
Balanus crenatus,106215,Balanus crenatus,Animalia,Arthropoda,Thecostraca,Balanomorpha,Balanidae,Balanus,crenatus
Bathyporeia,101742,Bathyporeia,Animalia,Arthropoda,Malacostraca,Amphipoda,Bathyporeiidae,Bathyporeia,NA
Bathyporeia elegans,103058,Bathyporeia elegans,Animalia,Arthropoda,Malacostraca,Amphipoda,Bathyporeiidae,Bathyporeia,elegans
Bathyporeia guilliamsoniana,103060,Bathyporeia guilliamsoniana,Animalia,Arthropoda,Malacostraca,Amphipoda,Bathyporeiidae,Bathyporeia,guilliamsoniana
Bathyporeia nana,103064,Bathyporeia nana,Animalia,Arthropoda,Malacostraca,Amphipoda,Bathyporeiidae,Bathyporeia,nana
Bathyporeia tenuipes,103076,Bathyporeia tenuipes,Animalia,Arthropoda,Malacostraca,Amphipoda,Bathyporeiidae,Bathyporeia,tenuipes
Bivalvia,105,Bivalvia,Animalia,Mollusca,Bivalvia,NA,NA,NA,NA
Bodotria pulchella,110444,Bodotria pulchella,Animalia,Arthropoda,Malacostraca,Cumacea,Bodotriidae,Bodotria,pulchella
Bodotria scorpioides,110445,Bodotria scorpioides,Animalia,Arthropoda,Malacostraca,Cumacea,Bodotriidae,Bodotria,scorpioides
Bopyridae,1195,Bopyridae,Animalia,Arthropoda,Malacostraca,Isopoda,Bopyridae,NA,NA
Bougainvilliidae,1594,Bougainvilliidae,Animalia,Cnidaria,Hydrozoa,Anthoathecata,Bougainvilliidae,NA,NA
Brissopsis lyrifera,124373,Brissopsis lyrifera,Animalia,Echinodermata,Echinoidea,Spatangoida,Brissidae,Brissopsis,lyrifera
Bugulidae,110731,Bugulidae,Animalia,Bryozoa,Gymnolaemata,Cheilostomatida,Bugulidae,NA,NA
Adamsia palliata,1658483,Calliactis palliata,Animalia,Cnidaria,Hexacorallia,Actiniaria,Hormathiidae,Calliactis,palliata
Callianassa subterranea,107729,Callianassa subterranea,Animalia,Arthropoda,Malacostraca,Decapoda,Callianassidae,Callianassa,subterranea
Calocaris macandreae,107726,Calocaris macandreae,Animalia,Arthropoda,Malacostraca,Decapoda,Axiidae,Calocaris,macandreae
Campanulariidae,1606,Campanulariidae,Animalia,Cnidaria,Hydrozoa,Leptothecata,Campanulariidae,NA,NA
Campylaspis costata,110542,Campylaspis costata,Animalia,Arthropoda,Malacostraca,Cumacea,Nannastacidae,Campylaspis,costata
Campylaspis sulcata,110558,Campylaspis sulcata,Animalia,Arthropoda,Malacostraca,Cumacea,Nannastacidae,Campylaspis,sulcata
Capitella,129211,Capitella,Animalia,Annelida,Polychaeta,NA,Capitellidae,Capitella,NA
Capitellidae,921,Capitellidae,Animalia,Annelida,Polychaeta,NA,Capitellidae,NA,NA
Cardiidae,229,Cardiidae,Animalia,Mollusca,Bivalvia,Cardiida,Cardiidae,NA,NA
Caryophyllia (Caryophyllia) smithii,135144,Caryophyllia (Caryophyllia) smithii,Animalia,Cnidaria,Hexacorallia,Scleractinia,Caryophylliidae,Caryophyllia,smithii
Caulleriella alata,129943,Caulleriella alata,Animalia,Annelida,Polychaeta,Terebellida,Cirratulidae,Caulleriella,alata
Centraloecetes kroyeranus,1059646,Centraloecetes kroyeranus,Animalia,Arthropoda,Malacostraca,Amphipoda,Ischyroceridae,Centraloecetes,kroyeranus
Cephalaspidea,154,Cephalaspidea,Animalia,Mollusca,Gastropoda,Cephalaspidea,NA,NA,NA
Ceratocephale loveni,130367,Ceratocephale loveni,Animalia,Annelida,Polychaeta,Phyllodocida,Nereididae,Ceratocephale,loveni
Cerebratulus,122348,Cerebratulus,Animalia,Nemertea,Pilidiophora,Heteronemertea,Lineidae,Cerebratulus,NA
Chaetoderma nitidulum,139106,Chaetoderma nitidulum,Animalia,Mollusca,Caudofoveata,Chaetodermatida,Chaetodermatidae,Chaetoderma,nitidulum
Chaetognatha,2081,Chaetognatha,Animalia,Chaetognatha,NA,NA,NA,NA,NA
Chaetopterus,129229,Chaetopterus,Animalia,Annelida,Polychaeta,NA,Chaetopteridae,Chaetopterus,NA
Chaetopterus variopedatus,129914,Chaetopterus variopedatus,Animalia,Annelida,Polychaeta,NA,Chaetopteridae,Chaetopterus,variopedatus
Chaetozone christiei,152217,Chaetozone christiei,Animalia,Annelida,Polychaeta,Terebellida,Cirratulidae,Chaetozone,christiei
Chaetozone elakata,1033104,Chaetozone elakata,Animalia,Annelida,Polychaeta,Terebellida,Cirratulidae,Chaetozone,elakata
Chaetozone setosa,129955,Chaetozone setosa,Animalia,Annelida,Polychaeta,Terebellida,Cirratulidae,Chaetozone,setosa
Chamelea striatula,141908,Chamelea striatula,Animalia,Mollusca,Bivalvia,Venerida,Veneridae,Chamelea,striatula
Chromista,7,Chromista,Chromista,NA,NA,NA,NA,NA,NA
Ciliophora,11,Ciliophora,Chromista,Ciliophora,NA,NA,NA,NA,NA
Cirratulus,129243,Cirratulus,Animalia,Annelida,Polychaeta,Terebellida,Cirratulidae,Cirratulus,NA
Cirratulus caudatus,129957,Cirratulus caudatus,Animalia,Annelida,Polychaeta,Terebellida,Cirratulidae,Cirratulus,caudatus
Cirripedia,1082,Cirripedia,Animalia,Arthropoda,Thecostraca,NA,NA,NA,NA
Clausinella fasciata,141909,Clausinella fasciata,Animalia,Mollusca,Bivalvia,Venerida,Veneridae,Clausinella,fasciata
Claviramus candelus,332710,Claviramus candelus,Animalia,Annelida,Polychaeta,Sabellida,Sabellidae,Claviramus,candelus
Clytia hemisphaerica,117368,Clytia hemisphaerica,Animalia,Cnidaria,Hydrozoa,Leptothecata,Campanulariidae,Clytia,hemisphaerica
Cochlodesma praetenue,181373,Cochlodesma praetenue,Animalia,Mollusca,Bivalvia,NA,Periplomatidae,Cochlodesma,praetenue
Copepoda,1080,Copepoda,Animalia,Arthropoda,Copepoda,NA,NA,NA,NA
Corophium,101489,Corophium,Animalia,Arthropoda,Malacostraca,Amphipoda,Corophiidae,Corophium,NA
Corymorpha,117059,Corymorpha,Animalia,Cnidaria,Hydrozoa,Anthoathecata,Corymorphidae,Corymorpha,NA
Corymorpha nutans,117452,Corymorpha nutans,Animalia,Cnidaria,Hydrozoa,Anthoathecata,Corymorphidae,Corymorpha,nutans
Corystes cassivelaunus,107277,Corystes cassivelaunus,Animalia,Arthropoda,Malacostraca,Decapoda,Corystidae,Corystes,cassivelaunus
Crangon crangon,107552,Crangon crangon,Animalia,Arthropoda,Malacostraca,Decapoda,Crangonidae,Crangon,crangon
Crenella decussata,140440,Crenella decussata,Animalia,Mollusca,Bivalvia,Mytilida,Mytilidae,Crenella,decussata
Crisia,111032,Crisia,Animalia,Bryozoa,Stenolaemata,Cyclostomatida,Crisiidae,Crisia,NA
Cumacea,1137,Cumacea,Animalia,Arthropoda,Malacostraca,Cumacea,NA,NA,NA
Cylichna cylindracea,139476,Cylichna cylindracea,Animalia,Mollusca,Gastropoda,Cephalaspidea,Cylichnidae,Cylichna,cylindracea
Dasybranchus,129213,Dasybranchus,Animalia,Annelida,Polychaeta,NA,Capitellidae,Dasybranchus,NA
Decapoda,1130,Decapoda,Animalia,Arthropoda,Malacostraca,Decapoda,NA,NA,NA
Dendrochirotida,123111,Dendrochirotida,Animalia,Echinodermata,Holothuroidea,Dendrochirotida,NA,NA,NA
Dendrodoa grossularia,103882,Dendrodoa grossularia,Animalia,Chordata,Ascidiacea,Stolidobranchia,Styelidae,Dendrodoa,grossularia
Devonia perrieri,140365,Devonia perrieri,Animalia,Mollusca,Bivalvia,Galeommatida,Lasaeidae,Devonia,perrieri
Dialychone dunerificta,882443,Dialychone dunerificta,Animalia,Annelida,Polychaeta,Sabellida,Sabellidae,Dialychone,dunerificta
Diaphana minuta,139557,Diaphana minuta,Animalia,Mollusca,Gastropoda,Cephalaspidea,Diaphanidae,Diaphana,minuta
Diastylidae,110380,Diastylidae,Animalia,Arthropoda,Malacostraca,Cumacea,Diastylidae,NA,NA
Diastylis,110398,Diastylis,Animalia,Arthropoda,Malacostraca,Cumacea,Diastylidae,Diastylis,NA
Diastylis bradyi,110472,Diastylis bradyi,Animalia,Arthropoda,Malacostraca,Cumacea,Diastylidae,Diastylis,bradyi
Diastylis cornuta,110474,Diastylis cornuta,Animalia,Arthropoda,Malacostraca,Cumacea,Diastylidae,Diastylis,cornuta
Diastylis goodsiri,110479,Diastylis goodsiri,Animalia,Arthropoda,Malacostraca,Cumacea,Diastylidae,Diastylis,goodsiri
Diastylis laevis,110481,Diastylis laevis,Animalia,Arthropoda,Malacostraca,Cumacea,Diastylidae,Diastylis,laevis
Diastylis lucifera,110483,Diastylis lucifera,Animalia,Arthropoda,Malacostraca,Cumacea,Diastylidae,Diastylis,lucifera
Diastylis tumida,110492,Diastylis tumida,Animalia,Arthropoda,Malacostraca,Cumacea,Diastylidae,Diastylis,tumida
Diastyloides biplicatus,110494,Diastyloides biplicatus,Animalia,Arthropoda,Malacostraca,Cumacea,Diastylidae,Diastyloides,biplicatus
Didemnidae,103439,Didemnidae,Animalia,Chordata,Ascidiacea,Aplousobranchia,Didemnidae,NA,NA
Diplocirrus glaucus,130100,Diplocirrus glaucus,Animalia,Annelida,Polychaeta,Terebellida,Flabelligeridae,Diplocirrus,glaucus
Dipolydora,129611,Dipolydora,Animalia,Annelida,Polychaeta,Spionida,Spionidae,Dipolydora,NA
Dipolydora flava,131118,Dipolydora flava,Animalia,Annelida,Polychaeta,Spionida,Spionidae,Dipolydora,flava
Ditrupa arietina,130987,Ditrupa arietina,Animalia,Annelida,Polychaeta,Sabellida,Serpulidae,Ditrupa,arietina
Donax vittatus,139604,Donax vittatus,Animalia,Mollusca,Bivalvia,Cardiida,Donacidae,Donax,vittatus
Dosinia,138636,Dosinia,Animalia,Mollusca,Bivalvia,Venerida,Veneridae,Dosinia,NA
Dosinia lupinus,141912,Dosinia lupinus,Animalia,Mollusca,Bivalvia,Venerida,Veneridae,Dosinia,lupinus
Drilonereis,129200,Drilonereis,Animalia,Annelida,Polychaeta,Eunicida,Oenonidae,Drilonereis,NA
Dyopedos monacanthus,489646,Dyopedos monacanthus,Animalia,Arthropoda,Malacostraca,Amphipoda,Dulichiidae,Dyopedos,monacanthus
Ebalia,106889,Ebalia,Animalia,Arthropoda,Malacostraca,Decapoda,Leucosiidae,Ebalia,NA
Ebalia cranchii,107294,Ebalia cranchii,Animalia,Arthropoda,Malacostraca,Decapoda,Leucosiidae,Ebalia,cranchii
Ebalia tumefacta,107302,Ebalia tumefacta,Animalia,Arthropoda,Malacostraca,Decapoda,Leucosiidae,Ebalia,tumefacta
Echinocardium,123426,Echinocardium,Animalia,Echinodermata,Echinoidea,Spatangoida,Loveniidae,Echinocardium,NA
Echinocardium cordatum,124392,Echinocardium cordatum,Animalia,Echinodermata,Echinoidea,Spatangoida,Loveniidae,Echinocardium,cordatum
Echinocyamus pusillus,124273,Echinocyamus pusillus,Animalia,Echinodermata,Echinoidea,Echinolampadacea,Fibulariidae,Echinocyamus,pusillus
Eclysippe vanelli,129792,Eclysippe vanelli,Animalia,Annelida,Polychaeta,Terebellida,Ampharetidae,Eclysippe,vanelli
Edwardsiidae,100665,Edwardsiidae,Animalia,Cnidaria,Hexacorallia,Actiniaria,Edwardsiidae,NA,NA
Electra pilosa,1789435,Electra pilosa,Animalia,Bryozoa,Gymnolaemata,Cheilostomatida,Electridae,Electra,pilosa
Embletonia pulchra,141638,Embletonia pulchra,Animalia,Mollusca,Gastropoda,Nudibranchia,Embletoniidae,Embletonia,pulchra
Enipo kinbergi,130738,Enipo kinbergi,Animalia,Annelida,Polychaeta,Phyllodocida,Polynoidae,Enipo,kinbergi
Ennucula tenuis,140584,Ennucula tenuis,Animalia,Mollusca,Bivalvia,Nuculida,Nuculidae,Ennucula,tenuis
Ensis,138333,Ensis,Animalia,Mollusca,Bivalvia,Adapedonta,Pharidae,Ensis,NA
Ensis ensis,140733,Ensis ensis,Animalia,Mollusca,Bivalvia,Adapedonta,Pharidae,Ensis,ensis
Enteropneusta,1820,Enteropneusta,Animalia,Hemichordata,Enteropneusta,NA,NA,NA,NA
Epitonium clathratulum,139718,Epitonium clathratulum,Animalia,Mollusca,Gastropoda,Caenogastropoda incertae sedis,Epitoniidae,Epitonium,clathratulum
Epitonium trevelyanum,139736,Epitonium trevelyanum,Animalia,Mollusca,Gastropoda,Caenogastropoda incertae sedis,Epitoniidae,Epitonium,trevelyanum
Eriopisa elongata,102807,Eriopisa elongata,Animalia,Arthropoda,Malacostraca,Amphipoda,Eriopisidae,Eriopisa,elongata
Escharella immersa,111484,Escharella immersa,Animalia,Bryozoa,Gymnolaemata,Cheilostomatida,Escharellidae,Escharella,immersa
Eteone longa,130616,Eteone longa,Animalia,Annelida,Polychaeta,Phyllodocida,Phyllodocidae,Eteone,longa
Eucheilota maculata,117535,Eucheilota maculata,Animalia,Cnidaria,Hydrozoa,Leptothecata,Lovenellidae,Eucheilota,maculata
Euchone,129528,Euchone,Animalia,Annelida,Polychaeta,Sabellida,Sabellidae,Euchone,NA
Euchone pseudolimnicola,390408,Euchone pseudolimnicola,Animalia,Annelida,Polychaeta,Sabellida,Sabellidae,Euchone,pseudolimnicola
Euchone southerni,130910,Euchone southerni,Animalia,Annelida,Polychaeta,Sabellida,Sabellidae,Euchone,southerni
Euclymene droebachiensis,130291,Euclymene droebachiensis,Animalia,Annelida,Polychaeta,NA,Maldanidae,Euclymene,droebachiensis
Euclymene lombricoides,209899,Euclymene lombricoides,Animalia,Annelida,Polychaeta,NA,Maldanidae,Euclymene,lombricoides
Euclymene oerstedii,130294,Euclymene oerstedii,Animalia,Annelida,Polychaeta,NA,Maldanidae,Euclymene,oerstedii
